statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21060,uad6dub9bduc554uc13cud130,2014,52,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2017,78,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2009,79,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,58,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,71,F,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2016,78,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2008,60,F,N,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2016,49,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,53,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2008,58,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,80,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,61,M,Y,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2015,67,M,N,3,6,3,6
21060,uad6dub9bduc554uc13cud130,2010,73,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2016,64,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,64,M,Y,5,6,4,5
21060,uad6dub9bduc554uc13cud130,2013,71,F,N,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2012,39,F,N,2,2,1,1
21060,uad6dub9bduc554uc13cud130,2016,48,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2008,75,M,N,2,4,2,3
21060,uad6dub9bduc554uc13cud130,2013,63,M,Y,4,6,4,5
21060,uad6dub9bduc554uc13cud130,2011,68,M,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2010,69,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2010,51,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2008,75,M,Y,2,4,2,3
21060,uad6dub9bduc554uc13cud130,2017,69,F,N,1,2,1,2
